Numero di elementi,Tempo di esecuzione (s)
0,4.75e-06
76920,2.92e-07
153840,2.50e-07
230760,2.50e-07
307680,2.50e-07
384600,2.50e-07
461520,3.33e-07
538440,3.75e-07
615360,3.34e-07
692280,3.33e-07
769200,2.92e-07
846120,3.33e-07
923040,3.75e-07
999960,5.00e-07
999990,3.33e-07
