Numero di elementi,Tempo di esecuzione (s)
0,2.62e-06
769,6.52e-05
1538,1.80e-04
2307,1.58e-04
3076,2.14e-04
3845,2.77e-04
4614,3.05e-04
5383,3.56e-04
6152,4.11e-04
6921,4.56e-04
7690,5.00e-04
8459,5.56e-04
9228,5.86e-04
9997,6.33e-04
9999,6.33e-04
