Numero di elementi,Tempo di esecuzione (s)
0,1.46e-06
76,6.92e-06
152,1.46e-05
228,1.80e-05
304,2.45e-05
380,4.30e-05
456,3.85e-05
532,4.71e-05
608,4.95e-05
684,5.54e-05
760,6.00e-05
836,6.70e-05
912,6.96e-05
988,7.24e-05
999,7.36e-05
