Numero di elementi,Tempo di esecuzione (s)
0,1.83e-06
76,9.25e-06
152,1.14e-05
228,1.68e-05
304,2.22e-05
380,3.73e-05
456,4.10e-05
532,4.87e-05
608,5.54e-05
684,6.52e-05
760,7.44e-05
836,7.24e-05
912,8.60e-05
988,8.06e-05
999,8.10e-05
