Numero di elementi,Tempo di esecuzione (s)
0,2.87e-06
769,1.29e-06
1538,1.67e-06
2307,1.37e-06
3076,1.46e-06
3845,1.42e-06
4614,1.50e-06
5383,2.12e-06
6152,1.50e-06
6921,2.00e-06
7690,2.17e-06
8459,1.83e-06
9228,5.38e-06
9997,2.21e-06
9999,1.71e-06
